"LocationId","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6587946.5,83784
4,5,9,0,0,5895752.5,6860
4,10,14,10,0,5200496,4752
4,15,19,26,17,4631923.5,7188
4,20,24,37,23,4072960,9150
4,25,29,38,25,3348016,8122
4,30,34,55,34,2576735,7023
4,35,39,54,35,1976412,6639
4,40,44,74,43,1613110,7211
4,45,49,93,55,1324159.5,8426
4,50,54,114,76,1038712.5,9715
4,55,59,133,88,781336,10933
4,60,64,144,92,575593,12390
4,65,69,137,85,410757.5,13887
4,70,74,117,76,274530,14985
4,75,79,78,53,166809.5,14619
4,80,84,37,26,74652.5,10604
4,85,999,16,11,28940,6908
8,0,4,0,0,148287,293
8,5,9,0,0,172627.5,35
8,10,14,0,0,166069.5,42
8,15,19,0,0,176824,71
8,20,24,1,0,208455.5,90
8,25,29,4,0,238788.5,118
8,30,34,6,0,226264.5,153
8,35,39,9,0,184629.5,205
8,40,44,16,2,156123,248
8,45,49,22,6,157854.5,394
8,50,54,35,12,175771,653
8,55,59,63,22,183880,1014
8,60,64,77,35,185940.5,1560
8,65,69,74,46,152983.5,2023
8,70,74,68,49,114180,2845
8,75,79,58,48,79696.5,3560
8,80,84,50,40,58955.5,4619
8,85,999,39,32,40277.5,6704
12,0,4,0,0,4862517,20524
12,5,9,0,0,4941797.5,1378
12,10,14,3,0,4221454.5,1232
12,15,19,13,23,3281901,1492
12,20,24,39,42,2846322,1590
12,25,29,65,22,3286152.5,2110
12,30,34,116,16,3617857,2656
12,35,39,241,53,3714473.5,3680
12,40,44,399,133,3368926.5,4688
12,45,49,542,226,2766843.5,5789
12,50,54,740,335,2355453,7470
12,55,59,972,434,1923705,10419
12,60,64,1072,501,1476317,14693
12,65,69,1092,574,1146838.5,20982
12,70,74,894,561,786213.5,25730
12,75,79,649,509,439422,25884
12,80,84,492,471,276146.5,27946
12,85,999,418,480,165049,31013
24,0,4,0,0,6087495.5,89117
24,5,9,0,0,5326462.5,7059
24,10,14,26,0,4535524.5,4519
24,15,19,9,0,3693554.5,5792
24,20,24,16,10,2992351.5,6650
24,25,29,22,12,2575397.5,6746
24,30,34,70,45,2266054,7240
24,35,39,75,34,1912316.5,7906
24,40,44,75,38,1545472,8487
24,45,49,62,51,1241958,9266
24,50,54,98,69,1017352,10796
24,55,59,94,60,822040,12352
24,60,64,90,53,630770.5,14318
24,65,69,87,65,433740,14980
24,70,74,30,19,270670,14773
24,75,79,25,29,165925,14112
24,80,84,11,14,80781.5,10628
24,85,999,15,13,37163.5,8159
31,0,4,0,0,688108,2394
31,5,9,0,0,822180,283
31,10,14,1,1,836794.5,244
31,15,19,4,0,703787,405
31,20,24,5,2,654105,648
31,25,29,8,3,843679,769
31,30,34,15,6,967531.5,938
31,35,39,41,16,866568,1188
31,40,44,68,31,729543,1497
31,45,49,125,59,609274.5,2205
31,50,54,203,119,619689,3716
31,55,59,253,120,618078,5963
31,60,64,335,160,561089,8553
31,65,69,275,138,355458,8504
31,70,74,169,101,209302,7982
31,75,79,92,62,81966,4865
31,80,84,83,64,79834.5,7778
31,85,999,64,52,48317,7940
32,0,4,0,0,2947672,5439
32,5,9,0,0,3710859,737
32,10,14,0,1,3672106,948
32,15,19,16,4,3489288,2179
32,20,24,119,11,3476402,3158
32,25,29,48,57,3517290,3674
32,30,34,60,36,3399523,4101
32,35,39,166,64,3214392,4789
32,40,44,404,143,3153271,6917
32,45,49,731,256,2830371.5,8792
32,50,54,1084,396,2396847,12448
32,55,59,1535,621,2153956.5,17783
32,60,64,1960,875,1981502.5,26875
32,65,69,2255,1115,1731398,37583
32,70,74,2331,1303,1415320.5,48188
32,75,79,2044,1342,1047637,55207
32,80,84,1539,1182,676678.5,58710
32,85,999,1571,1394,593389.5,101946
36,0,4,0,0,1523962,1370
36,5,9,0,0,1613876.5,106
36,10,14,69,0,1640053,8
36,15,19,66,0,1537176.5,8
36,20,24,88,2,1637502.5,8
36,25,29,150,13,1858854.5,9
36,30,34,234,29,1941399,10
36,35,39,359,35,1908182.5,10
36,40,44,476,54,1720349,28
36,45,49,687,93,1637765.5,1152
36,50,54,949,158,1660551,3236
36,55,59,1300,247,1547392,9317
36,60,64,1754,360,1500094,19781
36,65,69,2082,475,1315491.5,12241
36,70,74,2409,626,1155308,19576
36,75,79,2317,911,877684.5,22542
36,80,84,1862,1035,567841,29628
36,85,999,2286,1677,557501.5,85705
40,0,4,0,0,432137.5,317
40,5,9,0,0,441266.5,36
40,10,14,3,0,427028.5,33
40,15,19,4,0,439894,135
40,20,24,6,0,488185.5,198
40,25,29,12,0,588769,249
40,30,34,29,3,630688,384
40,35,39,52,5,620081,476
40,40,44,89,13,596560,628
40,45,49,146,26,589350,1049
40,50,54,271,63,682142.5,1860
40,55,59,426,117,712128,3155
40,60,64,531,160,622569.5,4597
40,65,69,576,216,493921.5,6276
40,70,74,627,314,418525.5,9109
40,75,79,603,375,332743,10823
40,80,84,644,489,309708,15891
40,85,999,520,482,238979,41378
44,0,4,0,0,21884.5,56
44,5,9,0,0,24843.5,5
44,10,14,0,0,27815.5,5
44,15,19,0,0,27943.5,26
44,20,24,1,0,29338.5,50
