"ISOcode","AgeStart","AgeEnd","Ri"
4,0,4,0
4,5,9,0
4,10,14,4
4,15,19,12
4,20,24,16
4,25,29,14
4,30,34,24
4,35,39,24
4,40,44,31
4,45,49,42
4,50,54,52
4,55,59,62
4,60,64,70
4,65,69,68
4,70,74,58
4,75,79,39
4,80,84,19
4,85,999,9
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,0
8,25,29,2
8,30,34,2
8,35,39,3
8,40,44,5
8,45,49,9
8,50,54,16
8,55,59,28
8,60,64,39
8,65,69,39
8,70,74,34
8,75,79,32
8,80,84,31
8,85,999,26
12,0,4,0
12,5,9,0
12,10,14,2
12,15,19,8
12,20,24,27
12,25,29,26
12,30,34,62
12,35,39,143
12,40,44,227
12,45,49,312
12,50,54,424
12,55,59,548
12,60,64,612
12,65,69,636
12,70,74,537
12,75,79,394
12,80,84,300
12,85,999,257
24,0,4,0
24,5,9,0
24,10,14,26
24,15,19,3
24,20,24,5
24,25,29,11
24,30,34,40
24,35,39,22
24,40,44,46
24,45,49,44
24,50,54,75
24,55,59,59
24,60,64,35
24,65,69,2
24,70,74,16
24,75,79,25
24,80,84,11
24,85,999,15
31,0,4,0
31,5,9,0
31,10,14,1
31,15,19,4
31,20,24,3
31,25,29,5
31,30,34,8
31,35,39,22
31,40,44,39
31,45,49,58
31,50,54,91
31,55,59,146
31,60,64,192
31,65,69,176
31,70,74,111
31,75,79,62
31,80,84,56
31,85,999,47
32,0,4,0
32,5,9,0
32,10,14,0
32,15,19,12
32,20,24,111
32,25,29,9
32,30,34,23
32,35,39,103
32,40,44,292
32,45,49,547
32,50,54,827
32,55,59,1187
32,60,64,1534
32,65,69,1788
32,70,74,1877
32,75,79,1670
32,80,84,1275
32,85,999,1317
36,0,4,0
36,5,9,0
36,10,14,69
36,15,19,64
36,20,24,82
36,25,29,124
36,30,34,174
36,35,39,237
36,40,44,275
36,45,49,374
36,50,54,503
36,55,59,709
36,60,64,1031
36,65,69,1316
36,70,74,1625
36,75,79,1656
36,80,84,1398
36,85,999,1797
40,0,4,0
40,5,9,0
40,10,14,3
40,15,19,4
40,20,24,6
40,25,29,10
40,30,34,20
40,35,39,34
40,40,44,53
40,45,49,82
40,50,54,146
40,55,59,234
40,60,64,306
40,65,69,353
40,70,74,403
40,75,79,407
40,80,84,458
40,85,999,389
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,1
44,45,49,3
44,50,54,5
44,55,59,7
44,60,64,11
44,65,69,7
44,70,74,8
44,75,79,7
44,80,84,8
44,85,999,8
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,2
48,25,29,1
48,30,34,1
48,35,39,2
48,40,44,3
48,45,49,5
48,50,54,10
48,55,59,15
48,60,64,19
48,65,69,17
48,70,74,10
48,75,79,8
48,80,84,5
48,85,999,4
50,0,4,0
50,5,9,0
50,10,14,0
50,15,19,15
50,20,24,34
50,25,29,63
50,30,34,133
50,35,39,134
50,40,44,206
50,45,49,268
50,50,54,333
50,55,59,392
50,60,64,357
50,65,69,251
50,70,74,199
50,75,79,166
50,80,84,106
50,85,999,80
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,3
51,25,29,0
51,30,34,5
51,35,39,0
51,40,44,1
51,45,49,10
51,50,54,28
51,55,59,75
51,60,64,159
51,65,69,186
51,70,74,142
51,75,79,83
51,80,84,87
51,85,999,85
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,1
52,30,34,0
52,35,39,0
52,40,44,1
52,45,49,3
52,50,54,6
52,55,59,9
52,60,64,12
52,65,69,13
52,70,74,16
52,75,79,14
52,80,84,11
52,85,999,12
56,0,4,0
56,5,9,0
56,10,14,6
56,15,19,6
56,20,24,9
56,25,29,13
56,30,34,19
56,35,39,35
56,40,44,60
56,45,49,112
56,50,54,231
56,55,59,403
56,60,64,619
56,65,69,772
56,70,74,862
56,75,79,829
56,80,84,686
56,85,999,893
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,0
64,40,44,0
64,45,49,1
64,50,54,1
64,55,59,1
64,60,64,2
64,65,69,2
64,70,74,2
64,75,79,2
64,80,84,1
64,85,999,1
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,2
68,25,29,3
68,30,34,6
68,35,39,10
68,40,44,21
68,45,49,35
68,50,54,48
68,55,59,61
68,60,64,73
68,65,69,81
68,70,74,79
68,75,79,63
68,80,84,40
68,85,999,35
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,1
70,25,29,0
70,30,34,1
70,35,39,7
70,40,44,18
70,45,49,35
70,50,54,56
70,55,59,90
70,60,64,133
70,65,69,195
70,70,74,186
70,75,79,110
70,80,84,87
70,85,999,58
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,2
72,30,34,2
72,35,39,2
72,40,44,5
72,45,49,3
72,50,54,5
72,55,59,5
72,60,64,5
72,65,69,4
72,70,74,4
72,75,79,3
72,80,84,2
72,85,999,0
76,0,4,0
76,5,9,0
76,10,14,9
76,15,19,34
76,20,24,79
76,25,29,205
76,30,34,166
76,35,39,451
76,40,44,995
76,45,49,1621
76,50,54,2441
76,55,59,3433
76,60,64,4116
76,65,69,4409
76,70,74,4394
76,75,79,3924
76,80,84,3326
76,85,999,3759
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,1
84,40,44,0
84,45,49,0
84,50,54,3
84,55,59,3
84,60,64,4
84,65,69,2
84,70,74,2
84,75,79,1
84,80,84,3
84,85,999,2
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,0
90,45,49,0
90,50,54,0
90,55,59,0
90,60,64,1
90,65,69,1
90,70,74,1
90,75,79,1
90,80,84,0
90,85,999,1
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,1
